source_release_key,month_end,source_vehicle_category,vehicle_type,source_fuel_type,source_value_token,vehicle_population,source_value_status
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,CNG,0,0,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,Diesel,7588,7588,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,Diesel-Electric,22,22,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,Electric,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,Petrol,581925,581925,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,Petrol-CNG,1807,1807,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,Petrol-Electric,6934,6934,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Cars,cars,Petrol-Electric (Plug-In),120,120,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Goods & Other Vehicles,goods_and_other_vehicles,CNG,4,4,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Goods & Other Vehicles,goods_and_other_vehicles,Diesel,136481,136481,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Goods & Other Vehicles,goods_and_other_vehicles,Diesel-Electric,6,6,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Goods & Other Vehicles,goods_and_other_vehicles,Electric,1,1,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Goods & Other Vehicles,goods_and_other_vehicles,Petrol,7223,7223,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Goods & Other Vehicles,goods_and_other_vehicles,Petrol-CNG,8,8,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Goods & Other Vehicles,goods_and_other_vehicles,Petrol-Electric,1,1,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Motor-cycles,motorcycles,Electric,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Motor-cycles,motorcycles,Petrol,142625,142625,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Taxis,taxis,CNG,0,0,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Taxis,taxis,Diesel,24378,24378,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Taxis,taxis,Petrol,373,373,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Taxis,taxis,Petrol-CNG,1344,1344,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-05-31,Taxis,taxis,Petrol-Electric,2116,2116,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Buses,buses,CNG,12,12,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Buses,buses,Diesel,17967,17967,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Buses,buses,Diesel-Electric,4,4,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Buses,buses,Petrol,81,81,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Buses,buses,Petrol-CNG,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,CNG,0,0,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,Diesel,8032,8032,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,Diesel-Electric,22,22,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,Electric,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,Petrol,582631,582631,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,Petrol-CNG,1781,1781,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,Petrol-Electric,7139,7139,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Cars,cars,Petrol-Electric (Plug-In),123,123,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Goods & Other Vehicles,goods_and_other_vehicles,CNG,4,4,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Goods & Other Vehicles,goods_and_other_vehicles,Diesel,136693,136693,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Goods & Other Vehicles,goods_and_other_vehicles,Diesel-Electric,6,6,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Goods & Other Vehicles,goods_and_other_vehicles,Electric,1,1,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Goods & Other Vehicles,goods_and_other_vehicles,Petrol,7218,7218,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Goods & Other Vehicles,goods_and_other_vehicles,Petrol-CNG,8,8,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Goods & Other Vehicles,goods_and_other_vehicles,Petrol-Electric,1,1,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Motor-cycles,motorcycles,Electric,2,2,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Motor-cycles,motorcycles,Petrol,142577,142577,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Taxis,taxis,CNG,0,0,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Taxis,taxis,Diesel,24371,24371,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Taxis,taxis,Petrol,351,351,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Taxis,taxis,Petrol-CNG,1308,1308,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-06-30,Taxis,taxis,Petrol-Electric,2163,2163,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-07-31,Buses,buses,CNG,12,12,reported_numeric
25c9a68a5ab066abae1f07f8534cfcbdb2fd55ba30af65c39bba379aef3be6ab,2016-07-31,Buses,buses,Diesel,17998,17998,reported_numeric
